dir,angle,regime,entropy,text
0,-60.0,35dde896,0.898765,
0,-40.0,dc1c2edf,1.588674,
0,-30.0,b05cfd5f,2.638082,
0,-20.0,b453e180,3.402367,
0,-15.0,b453e180,3.628361,
0,-10.0,1f96e4e0,3.771735,
0,-5.0,1f96e4e0,3.850953,
0,-2.0,1f96e4e0,3.873099,
0,-1.0,7c6d1acb,3.876582,
0,0.0,7c6d1acb,3.878166,
0,1.0,7c6d1acb,3.877926,
0,2.0,7c6d1acb,3.875806,
0,5.0,7c6d1acb,3.858246,
0,10.0,7c6d1acb,3.78989,
0,15.0,1f96e4e0,3.665481,
0,20.0,2cf8d7d7,3.468272,
0,30.0,02c0f581,2.849867,
0,40.0,dbdc8378,2.329252,
0,60.0,5d6edd01,0.824585,
1,-60.0,fb77efb3,4.31947,
1,-40.0,3fb65963,2.828389,
1,-30.0,15874f6a,3.788607,
1,-20.0,13b1c09a,4.066128,
1,-15.0,5ade5eb8,4.090361,
1,-10.0,7c6d1acb,4.063699,
1,-5.0,7c6d1acb,3.992831,
1,-2.0,7c6d1acb,3.929539,
1,-1.0,7c6d1acb,3.904756,
1,0.0,7c6d1acb,3.878166,
1,1.0,1f96e4e0,3.849667,
1,2.0,1f96e4e0,3.819087,
1,5.0,1f96e4e0,3.714846,
1,10.0,1f96e4e0,3.493398,
1,15.0,b453e180,3.196095,
1,20.0,8dab32e5,2.79886,
1,30.0,4a4c297c,2.044393,
1,40.0,77b31efc,1.463526,
1,60.0,822e97ff,0.629979,
2,-60.0,aab1a1ae,0.658928,
2,-40.0,ad5f5091,2.103176,
2,-30.0,9456aff6,3.147516,
2,-20.0,9456aff6,3.620318,
2,-15.0,9456aff6,3.773897,
2,-10.0,9456aff6,3.860684,
2,-5.0,9456aff6,3.892288,
2,-2.0,7c6d1acb,3.888944,
2,-1.0,7c6d1acb,3.884364,
2,0.0,7c6d1acb,3.878166,
2,1.0,7c6d1acb,3.870243,
2,2.0,7c6d1acb,3.860574,
2,5.0,7c6d1acb,3.821314,
2,10.0,9456aff6,3.71797,
2,15.0,9456aff6,3.554137,
2,20.0,9456aff6,3.290077,
2,30.0,dcce077b,2.097618,
2,40.0,354d9fe0,0.033601,
2,60.0,6f2da0e1,0.390725,
3,-60.0,1f4bc3c3,2.273961,
3,-40.0,f38e0f5b,0.147948,
3,-30.0,22c3f16c,2.367089,
3,-20.0,b05cfd5f,3.0748,
3,-15.0,b05cfd5f,3.356695,
3,-10.0,4573a97d,3.581262,
3,-5.0,1f96e4e0,3.753259,
3,-2.0,1f96e4e0,3.833479,
3,-1.0,1f96e4e0,3.856662,
3,0.0,7c6d1acb,3.878166,
3,1.0,7c6d1acb,3.897904,
3,2.0,7c6d1acb,3.915906,
3,5.0,7c6d1acb,3.960025,
3,10.0,5ade5eb8,4.001363,
3,15.0,5ade5eb8,4.005,
3,20.0,5ade5eb8,3.968667,
3,30.0,da0b6af0,3.468497,
3,40.0,beca7481,1.972471,
3,60.0,59e23bb8,1.74819,
4,-60.0,d3df39f1,2.657989,
4,-40.0,184c3ba8,2.000421,
4,-30.0,9456aff6,3.387939,
4,-20.0,b2532ed0,3.660582,
4,-15.0,9456aff6,3.796631,
4,-10.0,9456aff6,3.869469,
4,-5.0,7c6d1acb,3.894339,
4,-2.0,7c6d1acb,3.889436,
4,-1.0,7c6d1acb,3.884677,
4,0.0,7c6d1acb,3.878166,
4,1.0,7c6d1acb,3.870037,
4,2.0,ecf74318,3.860248,
4,5.0,ecf74318,3.820973,
4,10.0,ecf74318,3.718624,
4,15.0,070383ef,3.562714,
4,20.0,baaeb64d,3.341139,
4,30.0,baaeb64d,2.664623,
4,40.0,d0a490e2,1.665877,
4,60.0,34e15222,2.134651,
5,-60.0,2556d1e0,1.1057,
5,-40.0,7bcaaad2,1.347311,
5,-30.0,a150976a,2.350058,
5,-20.0,beca7481,3.137749,
5,-15.0,574b5162,3.425523,
5,-10.0,5ade5eb8,3.642767,
5,-5.0,9456aff6,3.792587,
5,-2.0,9456aff6,3.851532,
5,-1.0,7c6d1acb,3.866051,
5,0.0,7c6d1acb,3.878166,
5,1.0,1f96e4e0,3.887746,
5,2.0,1f96e4e0,3.894911,
5,5.0,1f96e4e0,3.901526,
5,10.0,1f96e4e0,3.861957,
5,15.0,b453e180,3.755608,
5,20.0,2cf8d7d7,3.580308,
5,30.0,8e47d3de,3.145898,
5,40.0,97216bce,1.410552,
5,60.0,0365917e,0.254579,
6,-60.0,a0479d85,1.257614,
6,-40.0,1e8431a8,1.809696,
6,-30.0,7c6d1acb,2.807606,
6,-20.0,7c6d1acb,3.464079,
6,-15.0,1f96e4e0,3.65734,
6,-10.0,1f96e4e0,3.784077,
6,-5.0,1f96e4e0,3.855278,
6,-2.0,1f96e4e0,3.874515,
6,-1.0,7c6d1acb,3.877283,
6,0.0,7c6d1acb,3.878166,
6,1.0,7c6d1acb,3.877301,
6,2.0,7c6d1acb,3.874726,
6,5.0,9456aff6,3.856295,
6,10.0,9456aff6,3.789093,
6,15.0,9456aff6,3.668134,
6,20.0,5ade5eb8,3.492828,
6,30.0,10049c53,1.691712,
6,40.0,af60b16e,0.632455,
6,60.0,32e94fa5,0.416544,
7,-60.0,fb77efb3,1.597547,
7,-40.0,5dc883ba,1.898595,
7,-30.0,15874f6a,3.047464,
7,-20.0,1f96e4e0,3.64744,
7,-15.0,b456a7a3,3.792817,
7,-10.0,ecf74318,3.87369,
7,-5.0,ecf74318,3.90137,
7,-2.0,1f96e4e0,3.893575,
7,-1.0,1f96e4e0,3.886882,
7,0.0,7c6d1acb,3.878166,
7,1.0,7c6d1acb,3.867252,
7,2.0,7c6d1acb,3.854213,
7,5.0,7c6d1acb,3.801581,
7,10.0,9456aff6,3.664803,
7,15.0,9456aff6,3.458872,
7,20.0,da0b6af0,3.175172,
7,30.0,a43460ae,2.336519,
7,40.0,36243de8,1.23045,
7,60.0,59b2896e,0.510782,
8,-60.0,6863fee5,0.315197,
8,-40.0,9b7edb00,1.933308,
8,-30.0,beca7481,2.827106,
8,-20.0,7c6d1acb,3.459828,
8,-15.0,7c6d1acb,3.652898,
8,-10.0,7c6d1acb,3.778668,
8,-5.0,7c6d1acb,3.850662,
8,-2.0,7c6d1acb,3.872115,
8,-1.0,7c6d1acb,3.875982,
8,0.0,7c6d1acb,3.878166,
8,1.0,7c6d1acb,3.878757,
